"Time","38 FLy (cm)","52 LDS cle","v2 L COP","v3 xCoM","v1 R COP","51 RDS cle","40 FRy (cm)","36 HRy (cm)","34 HLy (cm)","42a CoMy (cm)","42 CoMy (cm)","3 Platform","2 Trdml","50 L marks","49 R marks","48 lHL swon","47 lFL swoff","46 rHL swon","45 rFL swoff","44 miry (cm)","43 mirx (cm)","41 CoMx (cm)","39 FRx (cm)","35 HRx (cm)","37 FLx (cm)","33a HLx (cm)","33 HLx (cm)","32 MTP ang","31 Keyboard","30 ankle ang","29 knee ang","28 hip ang","27 FLty (cm)","26 FLtx (cm)","25 toey (cm)","24 toex (cm)","23 MTPy (cm)","22 MTPx (cm)","21 anky (cm)","20 ankx (cm)","19 kny (cm)","18 knx (cm)","17 Hipy (cm)","16 Hipx (cm)","15 Cry (cm)","14 Crx (cm)","12 Sync","11 Gr","10 St","9 TA","8 Gs","7 VL","6 BF","5 Ip","4 GM","1 Synch"
0.000,6.076630,0,0.000000,4.740257,0.000000,0,4.497789,3.819174,6.507857,-11.322132,5.344350,-1.14623,0.09925,0,0,0,0,0,0,7.526208,0.940146,17.149517,19.335686,15.970075,17.924484,15.795178,14.798771,167.068939,0,56.354530,83.521622,60.879223,9.006756,20.594948,8.599061,16.885439,8.576865,16.354879,8.722298,15.573161,10.012819,16.827658,10.991386,15.562024,11.393592,16.501802,0,0.00253,0.00077,0.00066,0.00383,0.00062,0.00070,0.00069,0.00073,3.20882
0.001,6.074028,0,0.000000,4.727694,0.000000,0,4.481593,3.818254,6.502836,-11.337089,5.332859,-1.17364,0.09859,0,0,0,0,0,0,7.522441,0.932827,17.155424,19.351328,15.960347,17.914906,16.350779,14.815690,167.679855,0,55.652821,83.500687,61.491619,9.001115,20.610609,8.593840,16.870958,8.575795,16.343679,8.720192,15.554213,9.999002,16.820522,10.988723,15.563683,11.394520,16.507101,0,0.00257,0.00078,0.00065,0.00389,0.00063,0.00069,0.00068,0.00072,3.20867
0.002,6.071426,0,0.000000,4.715636,0.000000,0,4.465396,3.817333,6.497816,-11.352044,5.321367,-1.18917,0.10057,0,0,0,0,0,0,7.518673,0.925508,17.161329,19.366972,15.950619,17.905327,16.906378,14.832609,168.290771,0,54.951107,83.479752,62.104015,8.995475,20.626270,8.588619,16.856478,8.574725,16.332479,8.718086,15.535263,9.985184,16.813389,10.986059,15.565341,11.395448,16.512400,0,0.00280,0.00077,0.00064,0.00387,0.00062,0.00068,0.00067,0.00081,3.20836
0.003,6.068825,0,0.000000,4.703730,0.000000,0,4.449200,3.816412,6.492795,-11.367000,5.309875,-1.20482,0.10256,0,0,0,0,0,0,7.514905,0.918189,17.167234,19.382616,15.940890,17.895746,17.461977,14.849528,168.901688,0,54.249397,83.458817,62.716412,8.989835,20.641932,8.583398,16.841997,8.573655,16.321280,8.715981,15.516315,9.971366,16.806253,10.983396,15.566999,11.396377,16.517698,0,0.00279,0.00076,0.00067,0.00386,0.00062,0.00069,0.00067,0.00109,3.20798
0.004,6.066291,0,0.000000,4.692501,0.000000,0,4.430218,3.816218,6.490250,-11.359962,5.298570,-1.21867,0.10080,0,0,0,0,0,0,7.516387,0.925866,17.174133,19.395536,15.931278,17.886864,17.953182,14.868263,169.023087,0,53.935684,83.360443,63.036079,8.959913,20.655851,8.582611,16.831324,8.574332,16.312561,8.716937,15.509051,9.964352,16.806601,10.981814,15.571835,11.396988,16.524504,0,0.00270,0.00073,0.00066,0.00386,0.00062,0.00069,0.00067,0.00119,3.20837
0.005,6.063761,0,0.000000,4.681477,0.000000,0,4.411058,3.816069,6.487864,-11.351521,5.287277,-1.23505,0.10108,0,0,0,0,0,0,7.518204,0.934500,17.181093,19.408285,15.921673,17.878027,18.440277,14.887115,169.113251,0,53.646740,83.257133,63.337059,8.928443,20.669659,8.582106,16.820892,8.575121,16.303999,8.718089,15.502535,9.957771,16.807425,10.980304,15.576874,11.397579,16.531406,0,0.00256,0.00072,0.00067,0.00386,0.00062,0.00069,0.00068,0.00125,3.20914
0.006,6.061231,0,0.000000,4.670792,0.000000,0,4.391898,3.815921,6.485477,-11.343080,5.275983,-1.24659,0.10320,0,0,0,0,0,0,7.520021,0.943134,17.188055,19.421032,15.912068,17.869188,18.927372,14.905966,169.203415,0,53.357796,83.153824,63.638042,8.896972,20.683466,8.581601,16.810463,8.575910,16.295439,8.719241,15.496017,9.951190,16.808247,10.978792,15.581912,11.398171,16.538307,0,0.00251,0.00071,0.00067,0.00375,0.00064,0.00069,0.00065,0.00132,3.20892
0.007,6.058701,0,0.000000,4.660210,0.000000,0,4.372738,3.815772,6.483090,-11.334638,5.264689,-1.27590,0.10352,0,0,0,0,0,0,7.521838,0.951768,17.195015,19.433781,15.902463,17.860350,19.414465,14.924817,169.293564,0,53.068851,83.050507,63.939026,8.865501,20.697275,8.581097,16.800032,8.576698,16.286877,8.720393,15.489500,9.944610,16.809071,10.977281,15.586950,11.398763,16.545210,0,0.00246,0.00072,0.00068,0.00355,0.00064,0.00069,0.00063,0.00131,3.20823
0.008,6.056166,0,0.000000,4.649734,0.000000,0,4.359381,3.816803,6.482583,-11.311194,5.253232,-1.28731,0.10309,0,0,0,0,0,0,7.523455,0.951919,17.197348,19.443810,15.893043,17.852324,19.848856,14.944798,169.295959,0,52.992786,82.779007,63.906582,8.822746,20.704321,8.580812,16.788364,8.578504,16.277664,8.724321,15.486537,9.941358,16.812641,10.974831,15.591196,11.396461,16.553015,0,0.00243,0.00075,0.00066,0.00346,0.00066,0.00068,0.00067,0.00132,3.20837
0.009,6.053630,0,0.000000,4.639292,0.000000,0,4.346394,3.817909,6.482195,-11.286794,5.241763,-1.30264,0.10186,0,0,0,0,0,0,7.525059,0.951528,17.199383,19.453663,15.883635,17.844347,20.279882,14.964850,169.292755,0,52.930309,82.496773,63.852852,8.779272,20.710936,8.580541,16.776619,8.580374,16.268410,8.728427,15.483800,9.938318,16.816389,10.972322,15.595392,11.393975,16.560879,0,0.00244,0.00076,0.00065,0.00347,0.00064,0.00068,0.00067,0.00135,3.20890
